clone_0000.npz|wiː wɪl sˈɛnd juː ɐ ɹᵻnjˈuːəl nˈOɾɪs ɪnðə pˈOst ɪn ɑːktˈObɚ.
clone_0001.npz|ɪf hjˈuːmənz kʊd ˈɪnstəntli tˈɛlᵻpˌɔːɹt, tɹˈævəl ˈɪnfɹəstɹˌʌkʧɚ wʊd ʧˈAnʤ. nˈuː ˈɛθɪkəl kwˈɛsʧənz mˌIt ɪmˈɜːʤ. kənvˈiːnɪəns hɐz kˈɑːnsɪkwənsᵻz.
clone_0002.npz|hˈOld ɪt ɹˈIt ðˈɛɹ!
clone_0003.npz|wˌʌt ɑːɹ ðə kˈiː ˈɛlɪmənts əvə tɹˈæʤɪk plˈA?
clone_0004.npz|ʃiː ɡˈAv mˌiː ɐ θˈɔːtfəl ɡˈɪft. wˌʌt ɐ kˈInd ʤˈɛsʧɚ!
clone_0005.npz|ɪf wiː fˈWnd ˈAliən lˈIf, hˌW wʊd səsˈIəɾi ɹɪˈækt?
clone_0006.npz|ɪf hjˈuːmənz hæd wˈɪŋz? tɹˈævəl wʊd biː tɹænsfˈɔːɹmd. ˌWɚ pɚspˈɛktɪvz wʊd bɹˈɔːdən.
clone_0007.npz|tɹˈævəl wˈIdli.
clone_0008.npz|ɪz hjˈuːmən nˈAʧɚ fˈɪkst ɔːɹ mˈæləbəl?
clone_0009.npz|I pɹɪpˈɛɹd ɐ hˈɛlθi mˈiːl fɔːɹ dˈɪnɚ.
clone_0010.npz|wiː stˈAd fɔːɹ tˈuː nˈIts lˈæst wˈiːk, dˈʊɹɹɪŋ wˌɪʧ mI hˈʌbi ænd I ɡɑːt hˈɪʧt.
clone_0011.npz|sˈɪmpli mˈɑːɹvələs!
clone_0012.npz|hiː lˈɛft hɪz wˈɔlɪt æt hˈOm. ˈO, nˌɑːt ɐɡˈɛn!
clone_0013.npz|juː mˈʌst kˈiːp ɪt sˈAf.
clone_0014.npz|ðə kˈɪʧən ˈɔːlsO hɐz ɐ pˈæntɹi.
clone_0015.npz|fɪˈɔːɹdz ɑːɹ ɡlˈAʃəli kˈɑːɹvd vˈælɪz fˈɪld wɪð sˈiːwɔːɾɚ.
clone_0016.npz|ðɪ ˈæbstɹækt skˈʌlpʧɚɹ ɪnvˈIɾᵻd ɪntˌɜːpɹɪtˈAʃən. ɪts fˈɔːɹm wʌz dInˈæmɪk.
clone_0017.npz|ɐ ɡˈʊd bˈʊk tɹˈænspɔːɹts juː ˈɪnstəntli.
clone_0018.npz|ɪmˈæʤɪn ɐ wˈɜːld wɪð pˈɜːfɛkt mˈɛmɚɹi.
clone_0019.npz|wˌʌt wiː ɑːɹ lˈuː.
